ID	R_LOFC	R_OIFG	R_MOFC	R_PTRI	R_POPE	R_RMFG	R_SFG	R_CMFG	R_PREC	R_PRCL	R_RCIN	R_CCIN	R_PCIN	R_ICIN	R_PSTCG	R_SPMG	R_SPL	R_IPL	R_PCUN	R_CUNE	R_CALS	R_LOS	R_LING	R_FUSI	R_PHIP	R_ENTO	R_ITG	R_MTG	R_STG	R_TTG	R_INSU	R_THAL	R_CAUD	R_PUTA	R_PALL	R_ACMB	R_HIPP	R_AMYG	L_LOFC	L_OIFG	L_MOFC	L_PTRI	L_POPE	L_RMFG	L_SFG	L_CMFG	L_PREC	L_PRCL	L_RCIN	L_CCIN	L_PCIN	L_ICIN	L_PSTCG	L_SPMG	L_SPL	L_IPL	L_PCUN	L_CUNE	L_CALS	L_LOS	L_LING	L_FUSI	L_PHIP	L_ENTO	L_ITG	L_MTG	L_STG	L_TTG	L_INSU	L_THAL	L_CAUD	L_PUTA	L_PALL	L_ACMB	L_HIPP	L_AMYG	BSTM	eTIV
d10	8736.0	2350.0	4297.0	4212.0	4468.0	13965.0	29939.0	6303.0	13762.0	4767.0	2139.0	2618.0	4386.0	2432.0	10864.0	9669.0	10849.0	17313.0	10535.0	4865.0	2357.0	10264.0	7750.0	8357.0	2533.0	1138.0	13961.0	16345.0	16443.0	860.0	6554.0	8979.9	3564.5	3874.8	2238.4	381.7	4506.9	1720.0	9153.0	2120.0	4129.0	6842.0	5413.0	12508.0	25119.0	6970.0	13418.0	4174.0	3927.0	2683.0	3493.0	3027.0	10385.0	8798.0	11283.0	13557.0	10386.0	4707.0	2537.0	14224.0	7137.0	9466.0	2547.0	1711.0	12306.0	16184.0	17098.0	1337.0	6165.0	8983.0	3465.6	4456.7	2293.2	219.6	4391.8	1822.8	20601.5	1648534.314126
d11	7952.0	2084.0	3792.0	3932.0	4869.0	11913.0	24830.0	6838.0	11408.0	3947.0	2319.0	1876.0	2799.0	2173.0	10939.0	9460.0	12069.0	13754.0	10084.0	3738.0	1727.0	11761.0	6400.0	7614.0	1975.0	1794.0	11601.0	13124.0	16557.0	999.0	6491.0	7688.6	3525.9	4861.1	2189.8	449.1	4333.9	1645.2	8414.0	2130.0	4577.0	5303.0	4978.0	12318.0	19959.0	7693.0	11085.0	3677.0	3259.0	2969.0	3360.0	3092.0	10364.0	7844.0	11833.0	15087.0	9704.0	3945.0	1886.0	12348.0	6098.0	10580.0	2081.0	2116.0	10303.0	13455.0	15288.0	940.0	6075.0	7534.4	3650.0	5358.9	2024.3	296.5	4500.8	1526.6	20621.8	1517461.744389
d12	6315.0	1570.0	3800.0	3985.0	3387.0	11061.0	22950.0	6518.0	10981.0	3659.0	1572.0	1371.0	2013.0	2124.0	8770.0	7420.0	9850.0	13167.0	10406.0	3264.0	1839.0	8621.0	5099.0	7393.0	1572.0	1974.0	12199.0	11310.0	13011.0	711.0	5347.0	7097.8	2587.1	3712.2	1717.9	333.3	3856.1	1324.8	6918.0	1488.0	3367.0	3344.0	3119.0	10487.0	18387.0	6723.0	11607.0	2778.0	2721.0	3157.0	2762.0	2039.0	8138.0	8982.0	9786.0	11747.0	8839.0	3407.0	2086.0	8345.0	5706.0	6776.0	1959.0	1812.0	11499.0	11836.0	13913.0	814.0	5101.0	6659.3	3143.4	4286.3	1908.5	242.4	4292.6	1417.8	19918.2	1544304.444061
d13	8226.0	1346.0	3297.0	3011.0	2980.0	9133.0	21421.0	5391.0	10729.0	3066.0	1703.0	1122.0	1440.0	1755.0	12129.0	7165.0	10352.0	11233.0	6742.0	3718.0	1548.0	10098.0	4307.0	5271.0	2212.0	2256.0	9979.0	7709.0	11688.0	559.0	3533.0	6640.4	3807.9	4882.3	2263.5	422.4	2623.9	1438.7	9132.0	1379.0	4545.0	2448.0	3480.0	8712.0	21089.0	6067.0	11704.0	3026.0	2157.0	2019.0	1793.0	1877.0	12774.0	8168.0	10714.0	9327.0	6222.0	3318.0	1340.0	10128.0	4240.0	5485.0	2116.0	2435.0	9668.0	7439.0	10829.0	492.0	3107.0	6648.0	3655.9	5578.8	2430.9	257.3	3406.7	1437.1	20338.2	1689695.232206
d14	6918.0	2304.0	3509.0	3175.0	3176.0	8527.0	24603.0	4022.0	11308.0	3663.0	1457.0	1974.0	3123.0	2140.0	9401.0	10539.0	10958.0	12244.0	9570.0	2864.0	1481.0	9155.0	4737.0	5504.0	1259.0	1586.0	9658.0	12052.0	12785.0	941.0	5470.0	6957.3	2436.5	3105.5	1939.0	306.5	3091.6	1106.2	7200.0	2040.0	3778.0	3418.0	2860.0	9694.0	20898.0	5015.0	11074.0	3544.0	2856.0	2474.0	3256.0	1993.0	9937.0	9185.0	11865.0	10567.0	9264.0	2994.0	1764.0	10699.0	4397.0	6456.0	1608.0	1704.0	11098.0	10804.0	12781.0	1012.0	5034.0	6811.9	2473.0	3211.6	1791.8	106.6	2989.7	1127.6	14920.8	1339941.21313
d15	6427.0	1056.0	2660.0	3025.0	2465.0	7898.0	25135.0	5502.0	10481.0	3597.0	1100.0	1245.0	2002.0	327.0	8192.0	5044.0	10308.0	7361.0	6742.0	3054.0	1505.0	6706.0	1949.0	4190.0	2081.0	1344.0	7773.0	7279.0	9319.0	406.0	2520.0	7709.8	3410.2	4853.4	2465.4	492.5	4364.9	1666.4	7167.0	1428.0	3607.0	2536.0	2351.0	10032.0	23945.0	4234.0	10100.0	3669.0	1790.0	2117.0	1480.0	1681.0	8909.0	4583.0	8192.0	9818.0	4485.0	2504.0	1078.0	7685.0	3264.0	4397.0	2278.0	1391.0	8383.0	8495.0	8446.0	594.0	2014.0	8317.3	3462.2	4884.1	2086.8	373.2	3944.7	1570.7	26127.9	1737469.459753
d16	8333.0	1607.0	4589.0	4875.0	4742.0	14810.0	28014.0	7944.0	13000.0	4186.0	3278.0	2831.0	3910.0	2644.0	10606.0	7986.0	9975.0	14844.0	11521.0	4411.0	2527.0	12210.0	7407.0	7774.0	1682.0	1684.0	11971.0	13821.0	15396.0	955.0	5805.0	7174.4	3348.0	4243.8	1890.9	482.3	3543.3	1629.1	9160.0	1941.0	4663.0	4513.0	4927.0	13043.0	27019.0	7187.0	15101.0	4210.0	3586.0	3415.0	3996.0	2947.0	11185.0	9560.0	10495.0	13571.0	10366.0	4190.0	2369.0	10440.0	7261.0	7912.0	1721.0	1504.0	10669.0	12491.0	17267.0	1096.0	5585.0	8449.3	3298.4	4115.7	1744.9	333.2	3400.7	1379.7	17033.2	1483524.493599
d17	8478.0	2303.0	4382.0	4167.0	4029.0	12491.0	26260.0	7314.0	13774.0	3533.0	1910.0	2357.0	2813.0	2334.0	8645.0	9610.0	11027.0	12538.0	9137.0	2717.0	980.0	8078.0	4030.0	7096.0	1988.0	1767.0	9897.0	10773.0	17434.0	894.0	6178.0	6411.0	2659.0	3955.6	1848.2	386.0	3619.4	1568.0	8190.0	2386.0	4789.0	3943.0	3837.0	11918.0	23743.0	6895.0	13256.0	3939.0	3407.0	2996.0	2919.0	2305.0	8840.0	10765.0	11729.0	8116.0	8728.0	2521.0	1110.0	8614.0	5220.0	7487.0	2340.0	2059.0	12085.0	11063.0	15930.0	1503.0	6111.0	6606.9	2647.6	3891.5	1794.2	177.9	3473.2	1315.6	14553.2	1363836.684453
d18	8023.0	1818.0	4095.0	4594.0	4953.0	10864.0	24201.0	6467.0	12200.0	3613.0	2455.0	1894.0	3099.0	2381.0	10737.0	8219.0	10871.0	16074.0	10594.0	4269.0	2053.0	12590.0	6059.0	8427.0	1871.0	2469.0	12536.0	12152.0	15223.0	1017.0	6151.0	6128.3	3027.4	3594.7	2169.4	332.3	3362.2	1528.0	7468.0	2259.0	4294.0	4288.0	4476.0	10854.0	23642.0	6121.0	11970.0	3678.0	3129.0	2552.0	4279.0	2190.0	10222.0	8547.0	9785.0	12089.0	8712.0	3886.0	1249.0	13556.0	5144.0	8787.0	1721.0	1586.0	13406.0	13327.0	15995.0	962.0	5958.0	7057.4	3004.8	4106.7	1927.7	291.9	3166.2	1410.2	19682.9	1433219.052483
d19	9490.0	2424.0	4618.0	6141.0	5279.0	13101.0	26935.0	6676.0	12240.0	3947.0	3522.0	3077.0	3176.0	2482.0	10968.0	10936.0	13473.0	16590.0	13954.0	3622.0	1838.0	14356.0	5159.0	8507.0	2152.0	2176.0	13541.0	14556.0	16916.0	944.0	6059.0	7469.6	3769.6	4516.3	1756.7	362.5	4084.3	2051.1	9232.0	2342.0	4962.0	4610.0	5371.0	13666.0	24192.0	5773.0	15072.0	4703.0	3282.0	3433.0	3416.0	3264.0	12003.0	12418.0	12943.0	13184.0	13439.0	3375.0	1345.0	13955.0	5049.0	9130.0	2053.0	2616.0	13122.0	14681.0	18757.0	1341.0	6374.0	8173.6	2822.8	4329.7	1855.3	356.0	3928.5	1921.6	19162.8	1820845.747755
