//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1040.0	734.0	818.4347826086956	1233.933578813332
01to03	718.1111111111111	54.0	506.4782608695652	1165.3968730843892
01to04	496.6666666666667	313.0	442.82608695652175	422.2258783017596
01to05	455.48148148148147	153.0	332.60869565217394	651.9840353384294
01to06	1.2222222222222223	0.0	0.0	6.3508529610858835
01to07	2283.814814814815	1372.0	1755.0434782608695	3188.5172468748283
01to08	17.296296296296298	0.0	2.608695652173913	69.0834583422415
01to09	0.8888888888888888	0.0	0.0	4.618802153517006
01to10	28.074074074074073	0.0	4.130434782608695	91.43847276717992
01to11	0.0	0.0	0.0	0.0
01to12	350.0740740740741	225.0	287.5217391304348	414.5600936234351
01to13	15.074074074074074	0.0	0.0	73.30176088026909
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	26.074074074074073	0.0	0.9130434782608695	102.81459262108885
01to17	0.8888888888888888	0.0	0.13043478260869565	3.0676141234282404
01to18	16.296296296296298	0.0	2.739130434782609	63.32201878239562
01to19	4.481481481481482	0.0	0.043478260869565216	19.472604761108265
01to20	2.7037037037037037	0.0	0.17391304347826086	10.399019239312961
01to21	0.9259259259259259	0.0	0.0	4.811252243246882
01to22	5.333333333333333	0.0	0.6956521739130435	17.188994690252784
01to23	16.25925925925926	0.0	0.9565217391304348	55.59232970929643
01to24	5.703703703703703	0.0	0.34782608695652173	26.70467376957826
01to25	130.66666666666666	0.0	27.73913043478261	408.754957626957
01to26	0.0	0.0	0.0	0.0
01to27	11.0	0.0	3.0869565217391304	32.78015347033112
01to28	264.9259259259259	16.0	186.43478260869566	422.7149363092312
01to29	190.66666666666666	0.0	83.3913043478261	461.2694023436429
01to30	161.0	0.0	92.3913043478261	331.2530986792658
01to31	0.18518518518518517	0.0	0.0	0.7862783338192769
01to32	602.2222222222222	116.0	330.30434782608694	1278.788529258885
01to33	0.1111111111111111	0.0	0.0	0.5773502691896257
01to34	2236.777777777778	1881.0	2073.478260869565	1502.8887397617177
01to35	22.185185185185187	0.0	9.782608695652174	55.86593639242834
01to36	528.3703703703703	40.0	396.9130434782609	820.1153834462821
01to37	660.7777777777778	21.0	457.8695652173913	1198.3333404657465
01to38	4.62962962962963	0.0	1.0434782608695652	14.427932705874468
01to39	184.14814814814815	87.0	143.43478260869566	250.47412022060263
01to40	0.037037037037037035	0.0	0.0	0.19245008972987526
01to41	2.4814814814814814	0.0	0.043478260869565216	8.868138172349067
01to42	1019.7407407407408	200.0	737.7391304347826	1562.700758612685
01to43	0.0	0.0	0.0	0.0
01to44	278.6666666666667	6.0	102.8695652173913	784.6603870955403
01to45	168.7037037037037	5.0	86.73913043478261	349.7752921316127
01to46	0.0	0.0	0.0	0.0
01to47	0.0	0.0	0.0	0.0
01to48	1249.2222222222222	443.0	680.5217391304348	2535.665673991035
01to49	97.18518518518519	0.0	35.43478260869565	266.4653299770386
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	63.592592592592595	1.0	34.04347826086956	134.38900460381632
01to54	3.6296296296296298	0.0	0.0	13.182588015280869
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	2.037037037037037	0.0	0.0	10.386683343743126
01to60	0.0	0.0	0.0	0.0
01to61	0.8148148148148148	0.0	0.0	4.233901974057256
01to62	0.0	0.0	0.0	0.0
01to63	0.0	0.0	0.0	0.0
01to64	0.037037037037037035	0.0	0.0	0.19245008972987526
01to65	0.0	0.0	0.0	0.0
01to66	0.0	0.0	0.0	0.0
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	0.0	0.0	0.0	0.0
01to70	0.0	0.0	0.0	0.0
01to71	0.0	0.0	0.0	0.0
01to72	0.0	0.0	0.0	0.0
01to73	0.5555555555555556	0.0	0.043478260869565216	2.5012817227194253
01to74	0.0	0.0	0.0	0.0
01to75	10.037037037037036	0.0	1.0869565217391304	40.31174812678107
01to76	0.25925925925925924	0.0	0.0	1.3471506281091268
01to77	26.22222222222222	0.0	0.17391304347826086	133.66845705048146
01to78	1.2222222222222223	0.0	0.08695652173913043	5.570066518960166
01to79	0.0	0.0	0.0	0.0
01to80	3.7037037037037037	0.0	0.43478260869565216	12.126940177253207
01to81	0.0	0.0	0.0	0.0
01to82	0.0	0.0	0.0	0.0
01to83	31.51851851851852	0.0	0.21739130434782608	125.01149804667827
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	48.25925925925926	3.0	31.17391304347826	91.35248411114146
02to06	0.0	0.0	0.0	0.0
02to07	65.11111111111111	1.0	23.304347826086957	170.393962815889
02to08	0.9629629629629629	0.0	0.0	3.5678207255052388
02to09	3.4814814814814814	0.0	0.0	18.090308434608275
02to10	13.25925925925926	0.0	1.2608695652173914	55.42048537707153
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.0	0.0	0.0	0.0
02to14	0.0	0.0	0.0	0.0
02to15	0.3333333333333333	0.0	0.0	1.5442199922988256
02to16	9.88888888888889	0.0	3.0869565217391304	27.781196370834568
02to17	0.7777777777777778	0.0	0.043478260869565216	3.467800603500874
02to18	100.88888888888889	0.0	14.869565217391305	336.7227041456805
02to19	12.88888888888889	0.0	0.08695652173913043	52.07711244899856
