//pathway	mean_value	median_value	trimedmean_value	sd_value
02to60	0.6	0.0	0.0	2.6832815729997477
02to61	0.2	0.0	0.0625	0.5231483637805969
02to62	0.2	0.0	0.0	0.8944271909999159
02to63	0.2	0.0	0.0	0.8944271909999159
02to64	0.65	0.0	0.1875	1.6630662866176473
02to65	0.0	0.0	0.0	0.0
02to66	0.0	0.0	0.0	0.0
02to67	0.0	0.0	0.0	0.0
02to68	0.0	0.0	0.0	0.0
02to69	0.0	0.0	0.0	0.0
02to70	0.2	0.0	0.0	0.6958523739384593
02to71	0.5	0.0	0.0	1.820930936000652
02to72	0.0	0.0	0.0	0.0
02to73	5.3	0.0	0.0625	17.339034150239105
02to74	1.75	0.0	0.0	7.826237921249264
02to75	5.5	0.0	0.1875	22.30529793097312
02to76	20.75	0.0	0.3125	72.7474904613283
02to77	0.2	0.0	0.0	0.8944271909999159
02to78	85.6	0.0	0.875	261.22956228292065
02to79	0.0	0.0	0.0	0.0
02to80	0.1	0.0	0.0	0.4472135954999579
02to81	0.0	0.0	0.0	0.0
02to82	0.0	0.0	0.0	0.0
02to83	2.6	0.0	0.8125	6.29452560814387
03to04	306.9	189.0	236.375	343.2810571682136
03to05	0.0	0.0	0.0	0.0
03to06	0.0	0.0	0.0	0.0
03to07	0.6	0.0	0.125	1.5694450913417908
03to08	23.75	0.0	3.0625	79.96240893135513
03to09	0.0	0.0	0.0	0.0
03to10	4.0	0.0	0.0	16.97056274847714
03to11	0.0	0.0	0.0	0.0
03to12	489.35	99.5	326.0625	762.9608029526191
03to13	45.85	0.0	6.0	146.2820904964104
03to14	0.0	0.0	0.0	0.0
03to15	0.0	0.0	0.0	0.0
03to16	0.0	0.0	0.0	0.0
03to17	0.0	0.0	0.0	0.0
03to18	0.0	0.0	0.0	0.0
03to19	0.0	0.0	0.0	0.0
03to20	0.0	0.0	0.0	0.0
03to21	0.0	0.0	0.0	0.0
03to22	0.0	0.0	0.0	0.0
03to23	0.0	0.0	0.0	0.0
03to24	0.0	0.0	0.0	0.0
03to25	6.8	0.0	0.0	30.41052449399714
03to26	0.0	0.0	0.0	0.0
03to27	0.0	0.0	0.0	0.0
03to28	91.95	0.0	10.25	282.0084871809805
03to29	0.55	0.0	0.0	2.235479461111784
03to30	0.35	0.0	0.0	1.5652475842498528
03to31	0.0	0.0	0.0	0.0
03to32	85.65	0.0	20.25	219.15514211578397
03to33	0.0	0.0	0.0	0.0
03to34	509.15	30.5	271.75	998.4709507410239
03to35	1.2	0.0	0.3125	3.0881777968995174
03to36	492.6	234.5	329.0625	698.0885481460297
