No Id LongId X Y Z AreaNameJp Memo
65 L.LING ctx-lh-lingual -14.04 -71.75 -0.47 左舌状回 後頭葉内側面で鳥距溝の下面に存在
66 L.FUSI ctx-lh-fusiform -36.53 -42.62 -17.62 左紡錘状回 側頭葉の一部。後頭側頭回とも呼ばれる。
67 L.PHIP ctx-lh-parahippocampal -25.81 -30.39 -15.37 左海馬傍回 -
68 L.ENTO ctx-lh-entorhinal -25.20 -5.71 -31.43 左嗅内野 連合野と海馬体との情報連絡を仲介
69 L.TMPP ctx-lh-temporalpole -32.05 10.66 -36.41 左側頭極 側頭葉の前端
70 L.ITMP ctx-lh-inferiortemporal -51.47 -34.39 -18.96 左下側頭回 -
71 L.MTMP ctx-lh-middletemporal -55.93 -26.30 -10.17 左中側頭回 -
72 L.BSTS ctx-lh-bankssts -50.01 -42.98 12.14 左上側頭溝壁 和名正しい？banks-of-the-superior-temporal-sulcus
73 L.STMP ctx-lh-superiortemporal -51.31 -11.13 -3.50 左上側頭回 -
74 L.TTMP ctx-lh-transversetemporal -45.75 -20.05 8.55 左横側頭回 聴覚中枢
75 L.INSU ctx-lh-insula -34.39 -1.46 2.96 左島 -
76 L.THAL Left-Thalamus-Proper -10.64 -18.12 7.32 左視床 -
77 L.CAUD Left-Caudate -12.35 8.68 10.48 左尾状核 -
78 L.PUTA Left-Putamen -25.72 0.27 0.36 左被殻 -
79 L.PALL Left-Pallidum -18.87 -2.77 -2.72 左淡蒼球 -
80 L.ACMB Left-Accumbens-area -5.84 11.80 -7.18 左側坐核 新皮質-線条体-淡蒼球という経路と並行の回路を形成
81 L.HIPP Left-Hippocampus -24.32 -20.34 -14.12 左海馬 -
82 L.AMYG Left-Amygdala -20.69 -1.36 -21.72 左扁桃体 -
83 BSTM Brain-Stem -0.58 -29.84 -27.45 脳幹 -
